,Brand,Model,Variant,Year,driven kilometers,fuel,Transmission,number of owners,location,Price
327,Ford,Figo,1.2P Titanium MT,2010,"80,000 km",Petrol,Manual,2nd,"Godavarikhani, Ramagundam, Telangana","₹ 2,10,000"
328,Toyota,Fortuner,2.8 4WD MT,2012,"121,000 km",Diesel,Manual,1st,"Sector 28C, Chandigarh, Chandigarh","₹ 12,85,000"
329,-,-,-,-,-,-,-,-,-,-
330,Fiat,Grande Punto,2009-2013 1.3 Emotion Pack (Diesel),2011,"79,386 km",Diesel,Manual,1st,"Rasta Peth, Pune, Maharashtra","₹ 2,75,000"
331,Volkswagen,Polo,1.2 MPI Highline Plus,2016,"39,000 km",Petrol,Manual,2nd,"MG Road, Indore, Madhya Pradesh","₹ 5,50,000"
332,Maruti Suzuki,Ritz,VDi,2011,"73,094 km",Diesel,Manual,1st,"Yelhanka - Doddaballapur Road, Bengaluru, Karnataka","₹ 3,65,000"
333,Hyundai,Verna,2010-2011 Transform CRDi VGT SX ABS,2010,"87,000 km",Diesel,Automatic,2nd,"Hsr Layout Sector 7, Bengaluru, Karnataka","₹ 3,80,000"
334,Volvo,S60,D4 R-Design,2014,"108,300 km",Diesel,Automatic,2nd,"Jubilee Hills, Hyderabad, Telangana","₹ 15,00,000"
335,Maruti Suzuki,Celerio,2014-2017 ZXI AT,2016,"39,000 km",Petrol,Manual,1st,"Banashankari Stage 3, Bengaluru, Karnataka","₹ 4,65,000"
336,Hyundai,Creta,1.4 E Plus Diesel,2019,"25,000 km",Diesel,Manual,1st,"Geeta Colony, Delhi, Delhi","₹ 9,70,000"
337,Mahindra,Xylo,H4 BS IV,2019,"35,000 km",Diesel,Manual,1st,"Tambaram, Chennai, Tamil Nadu","₹ 8,92,000"
338,Hyundai,EON,Era Plus,2013,"32,000 km",Petrol,Manual,2nd,"Nungambakkam, Chennai, Tamil Nadu","₹ 2,49,000"
339,Tata,Indica Vista,2008-2013 Aqua 1.3 Quadrajet (ABS),2009,"80,920 km",Diesel,Manual,3rd,"Friends Colony, Mukerian, Punjab","₹ 1,00,000"
340,Other Brands,Others,2015,"4,000 km",-,1st,-,-,"Jalukbari, Guwahati, Assam","₹ 3,50,000"
341,Renault,Duster,110PS Diesel RxZ,2012,"72,300 km",Diesel,Manual,1st,"Chandigarh Airport Area, Chandigarh, Chandigarh","₹ 4,15,000"
342,Maruti Suzuki,Ertiga,VXI,2014,"70,500 km",Petrol,Manual,2nd,"Sector 2, Bhilai, Chhattisgarh","₹ 5,80,000"
343,Hyundai,Verna,2011-2014 1.6 SX,2012,"91,000 km",Diesel,Manual,2nd,"Mahesh Nagar, Aurangabad, Maharashtra","₹ 4,35,000"
344,Maruti Suzuki,Ciaz,2014-2017 ZDi Plus,2015,"135,000 km",Diesel,Manual,2nd,"Kurkumbh, Kurkumbh MIDC, Maharashtra","₹ 7,00,000"
345,Hyundai,Verna,2006-2010 CRDi,2006,"180,000 km",Diesel,Automatic,3rd,"Ayyagaripet, Sathupally, Telangana","₹ 2,00,000"
346,Maruti Suzuki,Vitara Brezza,ZDi Plus,2016,"80,000 km",Diesel,Manual,1st,"Turakrathi, Kundapura, Karnataka","₹ 8,30,000"
347,Hyundai,i10,1.2 Kappa Magna,2012,"70,500 km",Petrol,Manual,1st,"Sector 51, Chandigarh, Chandigarh","₹ 2,71,500"
348,Hyundai,Elite i20,Magna 1.2,2015,"41,000 km",Petrol,Manual,2nd,"Elgin Road, Kolkata, West Bengal","₹ 4,30,000"
349,-,-,-,-,-,-,-,-,-,-
350,Toyota,Innova Crysta,2.4 ZX MT,2018,"70,000 km",Diesel,Manual,1st,"Tidke Colony, Nashik, Maharashtra","₹ 19,50,000"
351,Hyundai,i10,1.1L iRDE ERA Special Edition,2008,"19,000 km",Petrol,Manual,1st,"Preet Vihar, Delhi, Delhi","₹ 1,60,000"
352,Hyundai,Creta,1.4 CRDi S Plus,2018,"21,000 km",Diesel,Manual,1st,"T Nagar, Chennai, Tamil Nadu","₹ 9,75,000"
353,Tata,Indigo Ecs,eCS LS CR4 BS-IV,2012,"170,000 km",Diesel,Manual,2nd,"Marriguda, Hyderabad, Telangana","₹ 95,000"
